Lemma	Mark	Nature	Description	Formes communes	Code
ab		PRE	 	a, ab	70
abactus	, us	NOMcom	 	abactus	14
abacus	, i	NOMcom	 	abacum, abaci	12
abalieno	, as, are	VER	 	abalienari, abalienasse	51
Abantiades		NOMpro	Auto. (Greek)	Abantiades	17
Abaris		NOMpro	Auto. 	Abarim	13
Abas	, Abantis	NOMpro	Auto. 	Abas, Abantis	13
Abascantus	, i	NOMpro	Auto. 	Abascanto	12
abatos		ADJqua	 (Greek)		27
abauus	, i	NOMcom	 	abauus, abaui	12
abbas	, tis	NOMcom	 		13
Abdagaeses		NOMpro	Auto. (Greek)	Abdagaesen, Abdagaeses	17
Abdalonymus	, i	NOMpro	Auto. 	Abdalonymum, Abdalonymus	12
Abdera	, ae	NOMpro	Auto. 	Abdera	11
abdico1	, as, are	VER	 	abdicat, abdicauit	51
abditum	, i	NOMcom	 =LOCVS ABDITVS (Sg.,Pl.) 	abdito, abdita	12
abditus	, a, um	ADJqua	 Caché, secret 	abdita, abditum	21
abdo	, is, ere	VER	 	abdidit, abdita	53
abdomen	, inis	NOMcom	 	abdomen, abdomini	13
Abducillus	, i	NOMpro	Auto. 	Adbucilli	12
abduco	, is, ere	VER	 	abduxit, abducere	53
Abdus	, i	NOMpro	Auto. 	Abdus, Abdum	12
Abella	, ae	NOMpro	Auto. 	Abellae	11
Abellanus		ADJqua	Auto. 	Abellanas	2
abeo1	, in, is, ire	VER	 	abire, abi	56
aberro2	, as, are	VER	 	aberrare, aberrat	51
Abgarus	, i	NOMpro	Auto. 	Acbarus, Acbari	12
abhinc		ADV	 	abhinc	60
abhorreo	, es, ere	VER	 	abhorrere, abhorret	52
abhorridus	, a, um	ADJqua	 	abhorridum	21
abicio	, is, ere	VER	 	abiecit, abiectis	55
abiecte		ADV	 	abiecte, abiectius	6&
abiectio		NOMcom	Auto. 	abiectio	13
abiectus	, a, um	ADJqua	 (A tous les sens du Verbe) 	abiectum, abiectam	21
abiegneus	, a, um	ADJqua	 		21
abiegnus	, a, um	ADJqua	 	abiegnis, abiegnast	21
abies	, tis	NOMcom	 	abies, abiete	13
abigo	, is, ere	VER	 	abigit, abacta	53
Abii	, i	NOMpro	Auto. 	Abiorum	12
Abisares		NOMpro	Auto. 	Abisares, Abisaren	13
Abistamenes	, Abistamenis	NOMpro	Auto. 	Abistamene	13
abito		VER	Auto. 	abitas	53
abitus	, us	NOMcom	 	abitum, abitu	14
abiudico	, as, are	VER	 	abiudicabit, abiudicauisse	51
abiungo		VER	 	abiuncto, abiunctos	53
abiuro	, as, are	VER	 	abiurant, abiuratae	51
ablaqueo1	, as, are	VER	 	ablaqueato, ablaqueatas	51
ablego1	, as, are	VER	 (pas de Sous-lemme) 	ablegato, ablegauit	51
ableuo1	, as, are	VER	 		51
abludo	, is	VER	 	abludit	53
abluo	, is, ere	VER	 	abluit, ablue	53
abnego	, as	VER	 	abnegat, abnegarent	51
abnepos	, tis	NOMcom	 	abnepotem, abnepos	13
Abnoba	, ae	NOMpro	Auto. 	Abnobae	11
abnocto	, as, are	VER	 	abnoctantem	51
abnormis	, is	ADJqua	 	abnormis	24
abnuo	, is, ere	VER	 	abnuere, abnuit	53
abnuto	, as	VER	Auto. 	abnutas, abnuto	51
aboleo	, es, ere	VER	 (-LEVI, -LITVM) 	abolere, abolita	52
abolesco		VER	 (-LEVI; pas de Supin) 	abolescet	53
abolitio	, nis	NOMcom	 	abolitio, abolitionem	13
abolla	, ae	NOMcom	 	abollae, abolla	11
abominor		VER	 	abominanda, abominor	5J
Aborigines		NOMpro	Auto. 	Aborigines, Aboriginum	13
aborior	, iri	VER	 	aboriri	5M
aboriscor	, sci	VER	 	aborisci	5L
abortio1	, nis	NOMcom	Auto. 	abortione, abortionis	13
abortiuus	, a, um	ADJqua	 	abortiuus, abortiuis	21
abortus	, us	NOMcom	 	abortu, abortus	14
abrado	, ere	VER	 	abradere, abradens	53
abripio	, is, ere	VER	 	abripi, abrepta	55
abrogo	, as, are	VER	 	abrogatam, abrogauit	51
abrotonum	, i	NOMcom	 	habrotonum, habrotono	12
abrotonus	, i	NOMcom	 	habrotoni	12
